Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
92,24,66,70,97,2.1,1
93,20,44,71,65,2.2,1
94,21,45,52,54,2.7,1
95,20,54,62,43,3.1,1
96,23,94,88,42,3.3,1
97,20,84,37,83,6.7,1
98,24,80,73,84,0.0,1
99,23,63,97,63,4.3,1
100,21,38,84,78,3.5,1
101,23,94,51,38,5.8,1
102,23,38,45,89,4.7,1
103,19,58,41,68,6.9,1
104,23,93,76,78,2.6,1
105,23,88,67,45,2.2,1
106,24,41,79,63,0.2,1
107,18,40,38,66,6.2,0
108,20,54,65,51,6.7,1
109,24,62,94,67,5.4,1
110,22,49,55,74,1.3,1
111,18,74,83,85,4.6,1
112,20,66,48,73,0.6,1
113,18,40,79,89,6.4,1
114,22,78,36,88,0.6,1
115,24,81,93,54,0.8,1
116,23,69,96,94,1.4,1
117,23,69,76,66,6.6,1
118,18,92,66,94,2.2,1
119,23,98,76,58,2.7,1
120,24,68,78,70,1.7,1
121,21,59,45,65,4.4,1
122,23,65,95,97,3.9,1
123,24,46,72,63,6.3,1
124,23,74,82,95,5.5,1
125,25,89,77,80,4.2,1
126,24,67,64,50,2.2,1
127,20,58,59,62,2.5,1
128,24,71,47,59,2.2,1
129,21,57,73,36,1.8,1
130,25,40,41,72,1.0,1
131,19,97,48,36,5.1,1
132,21,91,78,58,3.8,1
133,17,96,49,43,2.0,1
134,23,41,54,54,3.9,0
135,21,66,50,88,0.7,1
136,20,83,92,91,6.2,1
137,21,89,74,42,6.9,1
138,18,61,62,68,7.6,1
139,18,57,44,55,1.3,1
140,17,95,72,39,3.3,1
141,20,71,93,44,2.3,1
142,20,60,89,49,7.4,1
143,25,54,69,53,1.8,1
144,18,74,71,91,0.5,1
145,18,73,86,69,3.7,1
146,25,91,45,40,4.3,1
147,23,67,38,46,5.9,1
148,20,37,69,40,7.7,0
149,19,91,70,58,3.8,1
150,23,97,46,95,5.1,1
151,22,76,48,55,3.3,1
152,22,98,71,86,3.3,1
153,25,46,75,67,0.3,1
154,22,86,100,35,0.9,1
155,25,41,59,81,3.7,1
156,24,41,61,69,5.0,1
157,25,71,91,97,1.0,1
158,18,65,55,74,0.2,1
159,25,87,46,63,0.1,1
160,18,50,54,98,3.7,1
161,21,69,88,96,4.1,1
162,24,53,84,59,1.9,1
163,25,52,43,70,6.0,1
164,23,99,69,35,2.7,1
165,21,97,54,92,5.8,1
166,25,77,83,93,3.9,1
167,22,65,84,64,7.0,1
168,23,95,83,84,0.3,1
169,19,39,51,99,4.0,1
170,22,91,47,93,7.0,1
171,17,87,54,44,5.8,1
172,24,68,78,85,6.3,1
173,18,83,75,97,6.8,1
174,25,43,65,71,0.3,1
175,20,90,47,47,6.0,1
176,24,73,38,40,1.3,1
177,22,72,80,82,6.4,1
178,23,87,58,56,1.2,1
179,19,83,65,98,0.6,1
180,19,67,93,67,1.9,1
181,17,94,71,55,7.2,1
182,18,79,73,89,3.5,1
183,21,73,60,84,3.7,1
184,24,83,80,72,0.9,1
185,21,85,70,36,0.2,1
186,17,98,71,64,7.3,1
187,22,59,67,52,1.8,1
188,18,40,74,91,7.2,1
189,17,51,46,72,4.6,1
190,22,57,60,51,6.0,1
191,25,81,99,69,7.0,1
192,19,96,72,78,2.1,1
193,18,44,53,63,3.7,1
194,23,81,46,85,7.7,1
195,17,50,93,82,2.1,1
196,21,82,48,64,4.7,1
197,24,76,63,43,0.2,1
198,24,73,87,49,7.3,1
199,19,39,73,98,0.4,1
200,18,52,84,93,0.8,1
201,22,88,54,88,5.4,1
202,18,87,70,39,6.7,1
203,22,91,65,81,1.7,1
204,18,82,80,42,7.8,1
205,23,50,93,46,2.2,1
206,20,37,41,77,5.1,1
207,20,61,43,61,7.9,1
208,20,64,77,53,6.5,1
209,17,53,51,67,2.2,1
210,19,38,51,36,0.9,0
211,22,65,76,37,6.3,1
212,19,51,88,49,2.1,1
213,18,81,100,48,3.8,1
214,24,40,73,93,4.0,1
215,17,96,86,89,0.5,1
216,18,91,44,45,3.9,1
217,22,43,51,70,4.9,1
218,25,83,72,93,5.7,1
219,25,47,49,62,4.8,1
220,23,64,87,78,3.6,1
221,24,47,75,89,3.2,1
222,22,82,54,95,5.3,1
223,18,45,46,90,0.7,1
224,18,82,51,42,6.0,1
225,25,50,87,80,4.5,1
226,23,41,71,74,6.9,1
227,22,99,62,54,0.8,1
228,24,48,79,82,1.8,1
229,18,63,89,38,6.1,1
230,21,69,74,78,0.2,1
231,22,53,86,43,0.0,1
232,19,38,46,62,5.9,0
233,23,78,55,82,3.4,1
234,21,45,41,54,5.8,0
235,19,41,45,69,6.0,1
236,24,97,91,88,5.3,1
237,21,100,49,79,1.7,1
238,23,97,74,40,0.9,1
239,20,42,35,61,3.2,0
240,21,52,67,72,7.6,1
241,22,98,90,57,1.0,1
242,19,64,99,80,3.0,1
243,18,40,90,37,3.2,1
244,24,75,89,86,7.4,1
245,23,86,37,76,2.3,1
246,19,93,81,46,6.4,1
247,23,66,90,86,6.8,1
248,25,74,78,63,0.6,1
249,22,44,100,49,6.2,1
250,25,79,79,53,4.1,1
251,20,67,60,57,0.8,1
252,19,44,57,98,6.1,1
253,24,92,76,75,6.0,1
254,19,95,91,73,3.5,1
255,21,80,99,44,4.7,1
256,21,39,42,82,3.7,1
257,21,46,99,84,0.6,1
258,24,40,92,59,4.6,1
259,22,99,54,42,4.8,1
260,24,78,45,99,0.8,1
261,19,91,91,55,0.3,1
262,22,71,84,87,3.0,1
263,22,41,77,43,5.4,1
264,22,84,71,67,0.8,1
265,19,53,79,74,2.7,1
266,23,45,74,83,1.0,1
267,22,46,89,100,6.5,1
268,22,74,58,62,0.1,1
269,22,97,59,63,7.6,1
270,19,72,47,99,1.2,1
271,25,39,78,51,6.7,1
272,23,58,56,91,1.2,1
273,17,65,91,71,3.3,1
274,24,65,74,95,1.9,1
275,20,91,94,71,2.9,1
276,23,88,55,60,4.0,1
277,19,41,96,82,7.0,1
278,25,50,71,45,7.5,1
279,19,100,53,90,2.2,1
280,18,63,92,79,7.6,1
281,17,85,99,82,3.3,1
282,20,45,82,63,3.1,1
283,17,47,77,53,2.5,1
284,19,95,52,95,0.3,1
285,24,45,37,67,4.9,0
286,20,89,49,71,6.7,1
287,20,41,65,88,2.4,1
288,24,98,37,100,0.5,1
289,20,72,89,35,5.7,1
290,22,88,58,45,1.9,1
291,25,43,99,99,7.8,1
292,25,95,40,84,0.2,1
293,22,37,80,43,2.0,1
294,22,48,77,52,1.9,1
295,17,78,57,94,2.8,1
296,24,52,43,93,5.1,1
297,17,40,60,40,2.3,0
298,22,100,85,95,7.5,1
299,21,59,71,80,0.3,1
300,17,77,69,50,6.9,1
301,22,86,91,84,3.5,1
302,22,98,98,82,7.8,1
303,25,45,89,45,2.1,1
304,23,58,72,76,4.8,1
305,18,72,74,92,0.6,1
306,23,91,79,92,1.3,1
307,17,80,90,70,5.8,1
308,17,86,81,100,0.6,1
309,19,53,91,39,7.6,1
310,19,81,81,84,0.5,1
311,17,92,82,82,4.8,1
312,24,52,81,85,6.1,1
313,22,66,49,38,5.2,1
314,19,84,50,68,4.0,1
315,21,62,71,97,5.6,1
316,20,44,92,57,1.0,1
317,24,75,79,43,8.0,1
318,25,73,55,57,4.3,1
319,22,50,60,52,4.1,1
320,20,38,81,82,6.3,1
321,24,51,46,43,6.4,0
322,21,96,87,87,3.2,1
323,18,75,44,92,1.0,1
324,24,79,51,58,5.4,1
325,19,42,50,54,3.5,0
326,21,76,63,79,1.3,1
327,25,45,67,60,7.2,1
328,25,73,46,99,2.2,1
329,19,54,56,78,4.7,1
330,17,38,45,40,6.6,0
331,21,88,38,98,5.2,1
332,25,73,96,66,2.3,1
333,23,44,42,55,2.4,0
334,24,94,61,78,3.3,1
335,19,75,79,86,2.5,1
336,19,100,48,75,6.1,1
337,20,69,92,66,3.7,1
338,19,72,84,88,0.8,1
339,20,55,76,75,7.7,1
340,20,98,100,94,6.1,1
341,24,98,37,46,7.0,1
342,23,65,62,80,4.0,1
343,17,98,95,71,0.4,1
344,25,48,90,52,0.1,1
345,21,86,81,40,5.8,1
346,23,59,81,71,0.4,1
347,18,92,70,50,3.1,1
348,19,85,82,78,7.8,1
349,25,53,60,100,7.5,1
350,23,40,39,52,4.0,0
351,22,93,54,100,6.4,1
352,19,75,55,85,2.6,1
353,21,99,100,97,4.7,1
354,21,37,82,77,3.8,1
355,18,74,38,95,7.8,1
356,21,64,41,96,7.7,1
357,19,83,53,66,4.2,1
358,17,49,59,37,4.6,0
359,24,54,87,61,2.5,1
360,23,95,42,52,4.0,1
361,25,76,96,83,1.7,1
362,22,93,78,80,7.7,1
363,21,59,66,70,4.9,1
364,25,73,71,61,2.4,1
365,24,79,70,71,2.5,1
366,18,83,85,79,4.6,1
367,19,71,45,79,2.3,1
368,24,96,62,60,5.2,1
369,25,69,52,48,2.2,1
370,20,63,64,41,1.9,1
371,18,95,47,52,3.3,1
372,17,55,87,95,7.7,1
373,24,71,76,71,5.2,1
374,17,46,64,39,7.3,0
375,19,57,39,85,3.3,1
376,24,72,39,36,1.5,0
377,21,48,77,71,4.5,1
378,24,98,52,99,7.9,1
379,24,49,77,55,2.2,1
380,24,58,36,78,5.2,1
381,21,59,57,86,4.5,1
382,23,46,86,47,4.1,1
383,19,96,76,66,7.9,1
384,17,65,92,69,2.1,1
385,22,36,68,81,2.4,1
386,20,50,94,74,0.5,1
387,19,99,74,50,3.2,1
388,21,63,63,52,2.9,1
389,24,82,88,95,1.2,1
390,25,62,66,45,6.4,1
391,25,81,44,49,3.6,1
392,17,99,60,54,6.6,1
393,19,91,49,61,2.6,1
394,24,100,92,42,0.7,1
395,24,88,93,42,1.1,1
396,25,74,37,85,3.7,1
397,21,62,44,40,6.5,0
398,23,43,42,43,2.8,0
399,24,87,58,52,0.3,1
400,23,83,92,83,3.0,1
401,23,52,79,50,0.6,1
402,19,85,51,63,7.9,1
403,17,73,94,89,6.0,1
404,25,64,66,93,3.0,1
405,22,59,49,39,1.2,0
406,23,37,65,61,4.9,1
407,18,39,92,41,0.8,1
408,20,86,91,64,5.9,1
409,25,42,52,99,1.7,1
410,21,75,76,65,1.9,1
411,21,63,87,73,7.0,1
412,21,57,89,98,0.5,1
413,17,83,75,88,7.8,1
414,23,83,58,95,1.2,1
415,20,73,53,94,6.8,1
416,17,88,52,84,4.5,1
417,20,77,45,92,2.0,1
418,22,59,41,69,0.7,1
419,23,40,44,59,5.4,0
420,25,61,77,73,1.7,1
421,17,59,50,96,1.7,1
422,20,61,85,65,5.6,1
423,25,71,83,94,2.6,1
424,25,74,68,81,5.2,1
425,25,94,47,95,7.1,1
426,22,82,75,87,7.3,1
427,17,63,53,37,4.5,1
428,21,88,72,54,4.4,1
429,20,83,66,98,2.6,1
430,25,78,67,97,5.2,1
431,24,80,56,52,3.7,1
432,25,42,39,44,3.9,0
433,17,87,52,64,6.1,1
434,18,36,62,99,5.7,1
435,24,96,97,37,3.0,1
436,17,87,36,37,4.3,1
437,25,71,37,99,5.8,1
438,23,57,48,47,6.4,1
439,25,59,67,80,1.2,1
440,21,45,82,86,6.4,1
441,24,63,73,45,4.5,1
442,17,83,83,95,0.7,1
443,17,56,45,98,5.1,1
444,23,77,47,40,5.2,1
445,20,95,69,40,1.7,1
446,18,70,39,57,5.5,1
447,22,61,53,85,0.1,1
448,18,65,84,77,2.4,1
449,23,52,45,99,6.0,1
450,22,90,64,44,0.4,1
451,22,85,76,38,4.8,1
452,21,92,97,64,6.3,1
453,22,83,90,58,4.4,1
454,23,72,66,44,0.7,1
455,18,83,54,84,2.1,1
456,22,46,35,74,2.9,1
457,24,69,48,51,2.9,1
458,18,92,100,87,1.5,1
459,18,80,46,76,0.2,1
460,23,87,84,45,0.1,1
461,25,66,56,83,7.2,1
462,19,73,69,98,1.1,1
463,19,90,70,88,0.5,1
464,21,44,81,67,3.9,1
465,20,98,60,93,5.8,1
466,18,35,85,77,1.1,1
467,23,77,91,77,6.4,1
468,23,52,73,76,6.5,1
469,20,57,85,75,3.8,1
470,21,97,66,76,5.9,1
471,23,85,81,49,2.2,1
472,20,58,38,94,4.7,1
473,20,72,43,87,3.5,1
474,24,73,65,67,1.1,1
475,19,83,44,92,5.7,1
476,24,99,88,39,4.7,1
477,22,45,48,66,5.6,1
478,22,40,86,77,1.3,1
479,23,47,68,63,0.8,1
480,25,63,92,82,6.0,1
481,23,99,54,79,3.7,1
482,17,72,88,45,3.9,1
483,18,53,79,74,6.7,1
484,22,61,96,79,3.6,1
485,24,92,75,43,0.8,1
486,21,49,37,78,0.4,1
487,18,56,66,57,5.4,1
488,25,89,94,64,1.3,1
489,23,58,90,85,5.0,1
490,17,60,92,89,5.9,1
491,23,62,61,70,0.0,1
492,18,58,81,76,4.6,1
493,20,68,97,75,3.7,1
494,23,49,79,80,4.9,1
495,24,73,45,52,4.9,1
496,22,74,49,58,0.9,1
497,22,100,84,88,5.5,1
498,19,89,58,97,4.6,1
499,25,57,56,97,5.5,1
500,21,75,92,41,1.1,1
501,22,97,52,59,7.6,1
502,23,99,98,87,7.7,1
503,24,91,97,56,3.3,1
504,18,63,72,39,4.5,1
505,21,71,56,93,1.8,1
506,24,49,49,69,4.4,1
507,25,81,40,91,6.6,1
508,25,89,48,66,1.7,1
509,21,39,92,68,7.0,1
510,22,46,91,50,6.9,1
511,20,79,89,56,1.7,1
512,19,61,42,79,6.3,1
513,25,56,76,72,2.2,1
514,21,100,47,52,4.6,1
515,23,70,51,51,7.4,1
516,20,76,66,85,1.2,1
517,24,69,88,83,1.1,1
518,24,46,86,100,0.6,1
519,21,82,93,97,5.6,1
520,22,46,93,80,4.7,1
521,18,85,62,89,6.4,1
522,20,76,71,78,4.0,1
523,25,97,78,41,4.6,1
524,17,93,37,50,0.8,1
525,19,35,89,60,3.5,1
526,19,73,55,70,7.1,1
527,18,67,45,82,5.2,1
528,19,74,64,89,0.4,1
529,18,35,62,96,5.6,1
530,18,63,91,36,1.1,1
531,17,50,89,51,5.6,1
532,24,84,46,48,0.6,1
533,18,73,52,83,2.5,1
534,19,53,43,36,5.1,0
535,19,62,54,87,3.5,1
536,24,46,47,52,6.9,0
537,18,84,79,89,4.7,1
538,22,66,70,45,6.3,1
539,20,71,38,73,4.4,1
540,20,100,59,85,4.1,1
541,21,65,98,84,5.2,1
542,18,44,36,81,1.9,1
543,22,88,81,57,1.1,1
544,24,44,37,43,7.6,0
545,17,40,42,85,2.1,1
546,25,99,88,89,2.3,1
547,23,54,70,45,0.7,1
548,21,61,54,76,0.6,1
549,23,43,74,90,4.7,1
550,20,46,90,49,0.5,1
551,24,42,74,57,4.9,1
552,18,52,36,55,0.1,0
553,24,68,56,82,7.6,1
554,19,69,50,38,6.0,1
555,22,69,43,68,6.5,1
556,18,100,81,42,4.0,1
557,24,56,82,55,6.9,1
558,21,49,64,100,6.2,1
559,17,36,66,40,0.4,0
560,24,54,57,39,2.9,1
561,25,88,63,76,6.4,1
562,20,75,69,44,3.3,1
563,22,41,57,63,1.0,1
564,25,86,43,94,7.9,1
565,21,74,76,46,6.2,1
566,25,82,60,72,3.7,1
567,21,66,94,82,5.9,1
568,24,60,66,54,8.0,1
569,17,38,64,79,7.5,1
570,17,35,83,74,7.6,1
571,18,65,88,97,1.6,1
572,17,53,70,46,7.8,1
573,17,87,82,93,7.4,1
574,18,99,52,85,4.6,1
575,18,42,90,51,4.7,1
576,20,75,85,76,2.3,1
577,22,64,44,60,3.6,1
578,19,48,54,48,6.2,1
579,19,75,87,50,3.6,1
580,25,61,92,74,2.9,1
581,24,50,46,55,2.1,1
582,21,40,62,76,6.6,1
583,19,66,80,85,0.7,1
584,25,73,68,57,0.4,1
585,17,92,66,47,7.6,1
586,24,52,50,36,0.8,0
587,17,63,51,60,6.6,1
588,23,45,68,44,3.0,1
589,17,60,91,51,8.0,1
590,18,77,50,40,7.2,1
591,24,90,85,98,0.4,1
592,17,89,57,80,3.1,1
593,20,70,70,92,7.3,1
594,19,66,72,98,0.3,1
595,23,96,42,46,7.1,1
596,21,88,60,66,3.1,1
597,25,83,80,96,6.4,1
598,25,79,99,76,6.3,1
599,23,38,75,63,2.2,1
600,17,70,42,95,7.2,1
601,25,64,55,47,2.9,1
602,20,69,42,63,5.3,1
603,23,57,57,65,2.8,1
604,22,80,38,80,6.4,1
605,19,59,98,74,4.5,1
606,19,46,42,64,3.9,1
607,20,96,35,77,0.2,1
608,20,78,57,76,6.5,1
609,17,53,49,81,0.2,1
610,18,85,47,78,3.0,1
611,21,55,90,97,2.6,1
612,22,80,63,57,1.4,1
613,23,72,51,57,2.5,1
614,17,85,39,58,7.6,1
615,22,63,48,98,7.4,1
616,19,44,65,79,2.6,1
617,22,46,77,92,1.3,1
618,17,66,43,79,2.1,1
619,21,35,41,84,6.3,1
620,24,56,87,98,5.9,1
621,23,83,47,96,2.8,1
622,20,44,39,72,1.3,1
623,17,48,44,78,2.5,1
624,19,55,44,46,7.1,0
625,22,96,38,90,4.8,1
626,19,90,55,41,4.9,1
627,18,59,87,68,2.6,1
628,21,47,41,85,2.4,1
629,25,54,41,81,6.7,1
630,17,72,96,60,3.4,1
631,18,56,72,45,0.2,1
632,24,74,85,95,6.8,1
633,24,68,46,84,7.2,1
634,19,83,82,58,3.0,1
635,24,91,94,68,0.4,1
636,20,42,54,47,6.7,0
637,18,87,64,42,5.3,1
638,23,88,95,65,6.5,1
639,24,85,39,99,2.4,1
640,25,53,50,92,6.4,1
641,19,56,62,59,7.6,1
642,19,45,90,60,0.3,1
643,19,68,75,43,6.7,1
644,18,85,76,70,3.1,1
645,25,36,88,49,3.7,1
646,23,47,48,47,1.2,0
647,21,79,87,68,6.9,1
648,23,95,39,57,5.2,1
649,21,86,39,85,3.2,1
650,22,41,95,69,5.5,1
651,22,73,74,70,0.2,1
652,24,47,64,52,6.9,1
653,21,91,76,69,7.8,1
654,23,46,59,91,4.8,1
655,20,87,97,82,7.3,1
656,17,55,43,74,4.1,1
657,25,38,57,59,3.2,1
658,20,66,39,93,6.7,1
659,17,60,70,82,7.3,1
660,24,50,38,65,4.0,1
661,22,92,57,95,3.9,1
662,25,55,68,46,2.8,1
663,21,41,55,62,0.2,1
664,20,61,69,87,5.2,1
665,25,36,95,51,0.2,1
666,19,36,63,67,4.8,1
667,21,70,89,83,5.7,1
668,22,62,94,73,3.7,1
669,25,85,48,35,6.6,1
670,25,82,71,73,8.0,1
671,18,78,70,76,3.9,1
672,21,73,59,54,2.1,1
673,25,42,86,75,6.1,1
674,19,98,72,68,5.8,1
675,23,39,59,78,3.2,1
676,20,95,80,99,5.5,1
677,21,58,72,47,6.8,1
678,24,68,58,77,1.0,1
679,18,63,74,88,1.8,1
680,22,72,94,50,3.0,1
681,24,44,95,59,0.4,1
682,25,83,73,87,1.0,1
683,17,54,52,60,7.0,1
684,22,93,53,75,3.3,1
685,19,97,77,57,6.2,1
686,22,35,92,70,5.1,1
687,20,56,55,97,6.1,1
688,18,90,89,86,1.0,1
689,23,84,35,39,7.7,1
690,25,82,36,76,1.6,1
691,25,35,66,63,1.5,1
692,22,48,84,99,2.5,1
693,21,40,73,72,1.3,1
694,24,78,90,52,5.8,1
695,22,97,80,59,8.0,1
696,19,86,37,64,7.6,1
697,20,51,62,37,5.8,1
698,25,81,39,83,1.4,1
699,21,41,41,48,6.2,0
700,17,49,88,91,0.4,1
701,23,67,95,54,1.0,1
702,20,36,73,88,5.6,1
703,18,69,52,88,5.3,1
704,18,50,71,49,4.1,1
705,18,60,68,60,4.0,1
706,22,72,55,40,5.6,1
707,25,61,96,77,4.0,1
708,20,46,49,98,0.0,1
709,19,100,44,47,7.6,1
710,21,93,72,68,5.2,1
711,24,57,40,72,0.4,1
712,22,75,89,49,6.4,1
713,18,40,36,52,6.8,0
714,19,91,69,46,2.6,1
715,22,58,49,86,6.5,1
716,23,69,84,96,7.7,1
717,23,56,49,51,5.2,1
718,17,55,48,88,7.9,1
719,24,91,58,83,6.4,1
720,22,51,96,97,4.9,1
721,18,91,40,43,7.1,1
722,21,36,63,78,5.2,1
723,25,47,90,66,4.2,1
724,24,84,54,41,2.8,1
725,17,55,99,95,5.1,1
726,24,44,97,76,7.0,1
727,20,70,41,99,2.6,1
728,20,83,86,65,4.4,1
729,18,92,46,98,3.7,1
730,24,98,37,48,2.5,1
731,23,35,46,73,3.3,1
732,25,93,78,81,4.5,1
733,17,93,77,95,6.5,1
734,22,49,47,63,5.7,1
735,17,72,82,48,2.7,1
736,17,98,52,87,7.2,1
737,18,60,59,50,2.0,1
738,23,59,78,48,1.7,1
739,23,50,92,93,0.4,1
740,25,98,35,41,1.1,1
741,25,96,100,57,7.5,1
742,19,51,48,84,5.8,1
743,22,84,88,66,4.0,1
744,21,78,72,92,3.2,1
745,19,100,73,75,1.1,1
746,25,60,61,72,5.1,1
747,22,51,57,99,7.4,1
748,25,76,49,80,5.6,1
749,25,88,71,89,3.8,1
750,17,38,83,53,4.2,1
751,17,60,69,55,5.4,1
752,21,53,42,72,5.5,1
753,20,39,80,92,6.0,1
754,18,63,84,65,4.9,1
755,25,71,41,83,6.3,1
756,23,75,41,36,3.3,1
757,21,91,63,82,1.6,1
758,25,60,59,72,5.9,1
759,24,44,58,57,1.4,1
760,25,40,89,70,1.0,1
761,25,55,67,35,2.1,1
762,22,54,40,54,3.7,0
763,22,73,97,80,4.8,1
764,18,75,63,58,6.3,1
765,25,99,55,88,0.5,1
766,25,46,79,63,4.3,1
767,20,77,81,72,5.3,1
768,20,95,36,49,7.6,1
769,22,66,40,76,3.6,1
770,23,49,84,67,7.3,1
771,25,38,82,100,5.8,1
772,25,40,72,59,3.6,1
773,22,47,56,35,4.1,0
774,18,62,89,48,1.7,1
775,20,90,44,54,4.3,1
776,17,77,39,46,3.7,1
777,18,67,44,64,0.4,1
778,21,92,86,90,3.3,1
779,22,50,35,43,0.1,0
780,17,44,80,99,5.6,1
781,18,73,46,71,2.3,1
782,24,38,95,55,3.1,1
783,25,85,72,53,1.8,1
784,21,82,36,53,5.4,1
785,18,85,45,74,0.3,1
786,20,79,62,87,6.0,1
787,25,58,63,67,1.1,1
788,20,41,94,44,0.9,1
789,21,67,47,60,5.4,1
790,24,80,51,65,7.6,1
791,18,43,59,75,2.3,1
792,24,74,54,81,3.6,1
793,22,56,35,75,7.7,1
794,20,90,70,81,6.3,1
795,19,77,96,94,5.4,1
796,24,74,97,48,2.9,1
797,19,45,70,52,5.2,1
798,25,44,44,37,1.6,0
799,25,86,62,39,5.1,1
800,25,95,54,81,2.1,1
801,23,72,52,94,1.8,1
802,25,85,81,99,4.1,1
803,17,56,100,52,5.3,1
804,24,53,96,80,1.3,1
805,17,97,64,43,1.8,1
806,21,40,61,81,3.0,1
807,23,93,40,40,3.8,1
808,22,70,68,57,0.8,1
809,23,81,44,67,5.2,1
810,23,63,86,80,7.8,1
811,22,96,35,99,3.9,1
812,19,64,44,100,3.5,1
813,21,58,55,81,1.7,1
814,18,88,77,49,5.3,1
815,24,96,61,55,5.4,1
816,23,40,51,55,0.2,0
817,19,40,53,42,5.0,0
818,19,58,86,37,2.1,1
819,21,62,92,95,7.6,1
820,24,87,53,58,1.4,1
821,25,78,93,43,2.1,1
822,20,51,48,37,3.0,0
823,20,99,88,54,4.2,1
824,18,39,99,50,1.4,1
825,18,51,35,90,3.9,1
826,25,40,89,64,3.4,1
827,24,83,79,47,6.3,1
828,23,96,64,45,1.1,1
829,21,87,67,59,4.8,1
830,17,35,50,35,5.7,0
831,23,75,87,81,5.2,1
832,18,67,68,89,1.2,1
833,22,85,61,87,4.9,1
834,25,96,57,82,6.3,1
835,25,67,74,79,4.4,1
836,23,50,64,92,5.9,1
837,19,100,86,78,0.8,1
838,25,41,55,84,4.9,1
839,17,53,95,90,6.4,1
840,18,63,82,45,0.5,1
841,17,86,71,42,5.8,1
842,19,91,36,60,5.1,1
843,25,39,100,64,2.3,1
844,19,81,65,35,5.4,1
845,19,70,86,80,0.7,1
846,23,60,36,43,3.2,0
847,18,79,79,70,4.4,1
848,20,59,93,86,4.9,1
849,17,87,99,48,2.1,1
850,25,72,78,49,0.6,1
851,25,67,91,83,7.7,1
852,24,78,93,93,6.2,1
853,17,68,43,83,3.9,1
854,20,64,75,87,5.4,1
855,22,36,68,66,4.1,1
856,21,78,44,57,0.7,1
857,24,62,69,58,2.5,1
858,20,60,65,65,4.0,1
859,21,60,66,80,1.7,1
860,19,50,45,98,6.2,1
861,17,40,96,82,6.1,1
862,22,70,97,58,3.9,1
863,25,63,51,41,2.2,1
864,25,96,39,99,6.4,1
865,22,57,93,50,3.1,1
866,25,36,36,61,3.7,0
867,23,76,81,68,4.6,1
868,19,65,69,95,4.4,1
869,22,98,89,61,2.9,1
